#Game MD5 Mapping
#MD5	gameid	variant	extra	filesize	language	platfrm
1900E501A52FBF55BDE6E4196F6D2AA6	zak	V2	V2	-1	sclIT_ITA	scpDOS
27B3A4224AD63D5B04627595C1C1A025	zak	V2	V2	-1	sclIT_ITA	scpAmiga
52A4BAE0746A11D7B1E8554E91A6645C	zak	V2	V2	-1	sclFR_FRA	scpDOS
6027E9CA9C35746D95DEE2068CEC17E5	zak	V2	V2	-1	sclDE_DEU	scpAmiga
624CDB93654667C869D204A64AF7E57F	maniac	V2	V2	1988	sclEN_ANY	scpDOS
675D71151E9B5A968C8CE46D9FBF4CBF	zak	V2	V2	1916	sclEN_ANY	scpDOS
B250D0F9CC83F80CED56FE11A4FB057C	maniac	V2	V2	1988	sclEN_ANY	scpDOS
E94C7CC3686FCE406D3C91B5EAE5A72D	zak	V2	V2	-1	sclEN_ANY	scpAmiga
E781230DA44A44E2F0770EDB2B3B3633	maniac	V2	V2	-1	sclEN_ANY	scpAmiga
E8D0697906E53FEE8B7E9F5652696DA8	atlantis	 	CD	11915	sclJA_JPN	scpDOS

